Date,pos,neg,trends
2021/1/4,1.481,0.628,41
2021/1/5,1.481,0.628,41
2021/1/6,1.481,0.628,41
2021/1/7,1.481,0.628,41
2021/1/8,1.481,0.628,41
2021/1/11,1.03,0.547,40
2021/1/12,1.03,0.547,40
2021/1/13,1.03,0.547,40
2021/1/14,1.03,0.547,40
2021/1/15,1.03,0.547,40
2021/1/18,1.51,0.459,40
2021/1/19,1.51,0.459,40
2021/1/20,1.51,0.459,40
2021/1/21,1.51,0.459,40
2021/1/22,1.51,0.459,40
2021/1/25,1.108,1.339,45
2021/1/26,1.108,1.339,45
2021/1/27,1.108,1.339,45
2021/1/28,1.108,1.339,45
2021/1/29,1.108,1.339,45
2021/2/1,2.044,2.221,45
2021/2/2,2.044,2.221,45
2021/2/3,2.044,2.221,45
2021/2/4,2.044,2.221,45
2021/2/5,2.044,2.221,45
2021/2/8,1.824,0.439,40
2021/2/9,1.824,0.439,40
2021/2/10,1.824,0.439,40
2021/2/11,1.824,0.439,40
2021/2/12,1.824,0.439,40
2021/2/15,0.918,1.924,44
2021/2/16,0.918,1.924,44
2021/2/17,0.918,1.924,44
2021/2/18,0.918,1.924,44
2021/2/19,0.918,1.924,44
2021/2/22,1.819,1.081,40
2021/2/23,1.819,1.081,40
2021/2/24,1.819,1.081,40
2021/2/25,1.819,1.081,40
2021/2/26,1.819,1.081,40
2021/3/1,1.469,0.968,42
2021/3/2,1.469,0.968,42
2021/3/3,1.469,0.968,42
2021/3/4,1.469,0.968,42
2021/3/5,1.469,0.968,42
2021/3/8,2.304,0.582,41
2021/3/9,2.304,0.582,41
2021/3/10,2.304,0.582,41
2021/3/11,2.304,0.582,41
2021/3/12,2.304,0.582,41
2021/3/15,2.229,1.339,49
2021/3/16,2.229,1.339,49
2021/3/17,2.229,1.339,49
2021/3/18,2.229,1.339,49
2021/3/19,2.229,1.339,49
2021/3/22,1.795,1.566,33
2021/3/23,1.795,1.566,33
2021/3/24,1.795,1.566,33
2021/3/25,1.795,1.566,33
2021/3/26,1.795,1.566,33
2021/3/29,2.275,0.824,44
2021/3/30,2.275,0.824,44
2021/3/31,2.275,0.824,44
2021/4/1,2.275,0.824,44
2021/4/5,1.385,0.934,47
2021/4/6,1.385,0.934,47
2021/4/7,1.385,0.934,47
2021/4/8,1.385,0.934,47
2021/4/9,1.385,0.934,47
2021/4/12,2.118,0.876,48
2021/4/13,2.118,0.876,48
2021/4/14,2.118,0.876,48
2021/4/15,2.118,0.876,48
2021/4/16,2.118,0.876,48
2021/4/19,2.344,1.011,84
2021/4/20,2.344,1.011,84
2021/4/21,2.344,1.011,84
2021/4/22,2.344,1.011,84
2021/4/23,2.344,1.011,84
2021/4/26,1.095,0.856,56
2021/4/27,1.095,0.856,56
2021/4/28,1.095,0.856,56
2021/4/29,1.095,0.856,56
2021/4/30,1.095,0.856,56
2021/5/3,1.931,0.772,61
2021/5/4,1.931,0.772,61
2021/5/5,1.931,0.772,61
2021/5/6,1.931,0.772,61
2021/5/7,1.931,0.772,61
2021/5/10,2.636,1.339,64
2021/5/11,2.636,1.339,64
2021/5/12,2.636,1.339,64
2021/5/13,2.636,1.339,64
2021/5/14,2.636,1.339,64
2021/5/17,1.326,0.798,47
2021/5/18,1.326,0.798,47
2021/5/19,1.326,0.798,47
2021/5/20,1.326,0.798,47
2021/5/21,1.326,0.798,47
2021/5/24,1.622,1.073,53
2021/5/25,1.622,1.073,53
2021/5/26,1.622,1.073,53
2021/5/27,1.622,1.073,53
2021/5/28,1.622,1.073,53
2021/5/31,2.008,0.934,51
2021/6/1,2.008,0.934,51
2021/6/2,2.008,0.934,51
2021/6/3,2.008,0.934,51
2021/6/4,2.008,0.934,51
2021/6/7,2.177,1.352,42
2021/6/8,2.177,1.352,42
2021/6/9,2.177,1.352,42
2021/6/10,2.177,1.352,42
2021/6/11,2.177,1.352,42
2021/6/14,2.101,1.306,52
2021/6/15,2.101,1.306,52
2021/6/16,2.101,1.306,52
2021/6/17,2.101,1.306,52
2021/6/18,2.101,1.306,52
2021/6/21,2.381,1.277,51
2021/6/22,2.381,1.277,51
2021/6/23,2.381,1.277,51
2021/6/24,2.381,1.277,51
2021/6/25,2.381,1.277,51
2021/6/28,2.159,1.263,57
2021/6/29,2.159,1.263,57
2021/6/30,2.159,1.263,57
2021/7/1,2.159,1.263,57
2021/7/2,2.159,1.263,57
2021/7/5,2.334,1.263,56
2021/7/6,2.334,1.263,56
2021/7/7,2.334,1.263,56
2021/7/8,2.334,1.263,56
2021/7/9,2.334,1.263,56
2021/7/12,2.341,1.373,57
2021/7/13,2.341,1.373,57
2021/7/14,2.341,1.373,57
2021/7/15,2.341,1.373,57
2021/7/16,2.341,1.373,57
2021/7/19,1.722,1.264,51
2021/7/20,1.722,1.264,51
2021/7/21,1.722,1.264,51
2021/7/22,1.722,1.264,51
2021/7/23,1.722,1.264,51
2021/7/26,1.932,1.743,41
2021/7/27,1.932,1.743,41
2021/7/28,1.932,1.743,41
2021/7/29,1.932,1.743,41
2021/7/30,1.932,1.743,41
2021/8/2,3.281,0.711,32
2021/8/3,3.281,0.711,32
2021/8/4,3.281,0.711,32
2021/8/5,3.281,0.711,32
2021/8/6,3.281,0.711,32
2021/8/9,1.882,1.491,37
2021/8/10,1.882,1.491,37
2021/8/11,1.882,1.491,37
2021/8/12,1.882,1.491,37
2021/8/13,1.882,1.491,37
2021/8/16,0.846,0.852,43
